,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
373,Hasaki,75,JP,1587316072,93,35.73,140.83,48.2,11.41
374,Longyearbyen,40,SJ,1587316072,74,78.22,15.64,35.6,25.28
375,Khorinsk,66,RU,1587316072,76,52.17,109.77,19.27,4.0
376,Morondava,0,MG,1587316027,77,-20.28,44.28,79.57,10.98
377,Nishihara,75,JP,1587316072,88,26.18,127.76,75.2,19.46
378,Nouadhibou,0,MR,1587316072,60,20.93,-17.03,73.4,23.04
379,Deolāli,49,IN,1587315910,25,19.95,73.83,81.86,5.12
380,Kabo,44,CF,1587316073,35,7.7,18.63,86.79,5.17
381,Māngrol,26,IN,1587316073,63,21.12,70.12,81.3,12.41
382,Karratha,99,AU,1587316073,55,-20.74,116.85,84.04,3.22
383,Świnoujście,0,PL,1587316073,51,53.91,14.25,53.01,1.01
384,Nago,90,JP,1587316073,88,26.59,127.98,73.4,10.29
385,Iztapa,40,GT,1587316073,55,13.93,-90.71,91.4,6.93
386,Wattegama,97,LK,1587316074,85,6.8,81.48,77.5,0.96
387,Melilla,48,ES,1587316074,60,35.29,-2.94,68.0,20.8
388,Lavumisa,16,SZ,1587316074,81,-27.31,31.89,65.08,2.1
389,Santa Cruz de la Sierra,0,BO,1587316045,27,-17.8,-63.17,89.6,2.24
390,Taltal,7,CL,1587316074,57,-25.4,-70.48,70.11,5.53
391,Hurricane,1,US,1587316074,58,37.18,-113.29,62.01,9.08
392,Richards Bay,0,ZA,1587316074,80,-28.78,32.04,71.04,12.21
393,Yulara,36,AU,1587316074,33,-25.24,130.99,73.4,3.36
394,Yanam,81,IN,1587316074,73,16.73,82.22,79.81,2.84
395,Kaeo,100,NZ,1587316075,94,-35.1,173.78,57.99,2.64
396,Felanitx,90,ES,1587316075,88,39.47,3.15,66.2,11.41
397,Broome,1,US,1587316075,54,42.25,-75.83,55.99,14.99
398,Tocopilla,11,CL,1587316075,28,-22.09,-70.2,84.06,7.38
399,Salalah,40,OM,1587315930,66,17.02,54.09,84.2,6.93
400,Agirish,89,RU,1587316075,79,61.92,63.02,35.73,6.67
401,Ifo,75,NG,1587316075,74,6.81,3.2,86.0,11.41
402,Las Margaritas,28,MX,1587316076,25,16.32,-91.98,85.32,5.55
403,Kodinsk,0,RU,1587316076,92,58.69,99.18,24.08,2.98
404,Sechura,1,PE,1587316076,66,-5.56,-80.82,77.23,9.64
405,Saint George,1,US,1587316061,58,37.1,-113.58,62.01,7.94
406,Roald,0,NO,1587316076,66,62.58,6.13,48.99,8.05
407,Funadhoo,33,MV,1587316076,72,6.15,73.27,86.49,8.75
408,Aberdeen,0,GB,1587316023,61,57.14,-2.1,53.01,13.87
409,Bereda,26,ES,1587316077,82,43.27,-7.54,59.0,7.0
410,Mossamedes,2,AO,1587315834,62,-15.2,12.15,76.14,14.14
411,Qaqortoq,20,GL,1587316140,50,60.72,-46.03,33.8,2.24
412,Caborca,50,MX,1587316140,36,30.58,-111.1,71.01,4.5
413,Chegdomyn,100,RU,1587316140,52,51.12,133.02,48.15,8.79
414,Poum,70,NC,1587316140,80,-20.23,164.02,79.3,11.95
415,Wanning,87,CN,1587316140,90,18.8,110.4,77.23,7.34
416,Mandurah,22,AU,1587316141,93,-32.55,115.7,60.01,9.08
417,Ancud,75,CL,1587316141,87,-41.87,-73.82,53.6,12.75
418,Haimen,64,CN,1587316141,88,23.19,116.61,75.2,6.44
419,Iguape,37,BR,1587316141,64,-24.71,-47.56,76.15,6.93
420,Lahat,99,ID,1587316141,85,-3.8,103.53,74.98,2.17
421,Shimanovsk,100,RU,1587316142,87,52.0,127.7,25.05,14.32
422,Hearst,84,CA,1587316142,88,49.68,-83.67,20.8,6.69
423,Durban,0,ZA,1587316142,78,-29.86,31.03,71.6,10.29
424,Codrington,100,AU,1587316142,66,-38.27,141.97,61.27,20.0
425,Rimbey,75,CA,1587316143,69,52.63,-114.24,37.4,6.93
426,Kyra,59,RU,1587316143,73,49.58,111.98,18.68,7.09
427,Korla,100,CN,1587316143,59,41.76,86.15,59.0,5.3
428,Banepā,75,NP,1587316143,72,27.63,85.52,60.8,3.36
429,Raja,90,SS,1587316149,12,8.46,25.68,83.7,0.13
430,Opuwo,46,NA,1587316149,36,-18.06,13.84,77.0,8.21
431,Kailua,75,US,1587316149,61,21.4,-157.74,78.8,5.82
432,Mount Gambier,90,AU,1587316149,82,-37.83,140.77,57.2,17.22
433,Poyarkovo,100,RU,1587316150,89,49.6,128.68,32.67,11.45
434,Faya,98,SA,1587315958,82,18.39,42.45,66.2,8.05
435,Ketchikan,90,US,1587315903,100,55.34,-131.65,44.6,9.17
436,Horsham,1,GB,1587316150,44,51.06,-0.33,59.0,16.11
437,Noumea,90,NC,1587316150,94,-22.28,166.46,79.0,3.36
438,Kamenka,90,RU,1587316151,53,51.32,42.77,46.0,3.8
439,Kungurtug,0,RU,1587316151,51,50.6,97.52,30.29,0.4
440,Tautira,75,PF,1587316151,83,-17.73,-149.15,78.8,4.7
441,Nizwá,50,OM,1587316151,24,22.93,57.53,85.35,9.48
442,Sinegor'ye,100,RU,1587316152,82,62.08,150.48,-1.34,4.05
443,Maloh,90,PH,1587316152,78,9.06,122.99,80.71,13.6
444,Conceição do Araguaia,57,BR,1587316153,66,-8.26,-49.26,86.34,2.8
445,La Seyne-sur-Mer,100,FR,1587316153,100,43.1,5.88,60.01,5.01
446,Mustafakemalpaşa,73,TR,1587316153,55,40.04,28.41,77.0,5.82
447,Yar-Sale,100,RU,1587316153,97,66.83,70.83,33.91,7.83
448,Bud,90,US,1587316153,57,39.45,-86.18,54.0,5.82
449,Izhma,100,RU,1587316154,96,65.01,53.91,33.8,2.86
450,Mahon,75,ES,1587316154,93,39.89,4.27,62.6,10.29
451,Maunabo,11,PR,1587316154,100,18.01,-65.9,87.01,7.0
452,Jalu,9,LY,1587316155,19,29.03,21.55,76.48,7.07
453,Bondo,85,CD,1587316155,81,3.81,23.69,72.5,4.97
454,Bānswāda,52,IN,1587316155,29,18.38,77.88,86.52,1.68
455,Naze,98,JP,1587316155,94,28.37,129.48,71.6,13.87
456,Okhotsk,41,RU,1587316155,83,59.38,143.3,7.47,10.4
457,Phang Nga,20,TH,1587316216,83,8.45,98.53,80.6,3.36
458,Alugan,41,PH,1587316216,84,12.22,125.48,81.54,13.18
459,Guaxupé,79,BR,1587316216,56,-21.31,-46.71,73.26,6.4
460,Fergus Falls,40,US,1587316054,47,46.28,-96.08,37.4,11.41
461,Sindor,100,RU,1587316216,93,62.86,51.89,33.96,3.58
462,Mwinilunga,19,ZM,1587316217,62,-11.74,24.43,63.95,4.68
463,Xinyang,100,CN,1587316217,64,32.12,114.07,57.56,6.89
464,Port Hardy,90,CA,1587316217,87,50.7,-127.42,48.2,2.15
465,Parfino,42,RU,1587316217,82,57.97,31.65,36.3,7.29
466,Evensk,100,RU,1587316058,86,61.95,159.23,7.83,8.52
467,Natal,40,BR,1587316101,66,-5.79,-35.21,87.8,11.41
468,Camacha,20,PT,1587316174,59,33.08,-16.33,66.2,8.05
469,Oshakati,82,NA,1587316218,35,-17.78,15.68,89.6,8.05
470,Trofors,75,NO,1587316218,87,65.53,13.41,42.8,6.93
471,Ongandjera,67,NA,1587316218,43,-17.88,15.07,75.87,14.14
472,Dakar,7,SN,1587316007,73,14.69,-17.44,80.6,24.16
473,Nizhniy Kuranakh,100,RU,1587316218,90,58.84,125.49,11.16,3.98
474,Kikuchi,100,JP,1587316218,82,32.98,130.82,64.0,3.0
475,Akhtubinsk,100,RU,1587316219,78,48.28,46.17,48.45,5.17
476,Khasan,100,RU,1587316219,89,42.43,130.64,42.75,11.99
477,Ust'-Karsk,81,RU,1587316219,79,52.7,118.81,19.69,9.04
478,Abalak,16,RU,1587316219,74,58.13,68.59,39.6,4.94
479,Zhangye,85,CN,1587316219,26,38.93,100.45,45.88,1.41
480,Rio Grande,20,BR,1587316220,61,-32.03,-52.1,79.0,17.22
481,Shuangcheng,75,CN,1587316220,87,45.35,126.28,51.01,8.95
482,Jacksonville Beach,20,US,1587316058,88,30.29,-81.39,81.0,9.17
483,Hammerfest,75,NO,1587316220,93,70.66,23.68,39.2,34.45
484,Skjervøy,99,NO,1587316220,81,70.03,20.97,41.07,38.81
485,Severnyy-Kospashskiy,85,RU,1587316220,76,59.09,57.8,32.0,1.01
486,Daru,87,PG,1587316220,87,-9.08,143.21,79.47,7.36
487,Moose Factory,40,CA,1587316221,60,51.26,-80.61,8.6,9.17
488,Davidson,90,US,1587316221,55,36.15,-86.78,61.0,1.79
489,Kiama,54,AU,1587316221,100,-34.68,150.87,57.0,5.82
490,Russell,90,US,1587316221,87,32.35,-85.2,53.6,5.82
491,Esperance,40,AU,1587316221,87,-33.87,121.9,53.6,6.93
492,Shirokiy,100,RU,1587316221,77,49.76,129.52,36.19,10.18
493,Camaná,10,PE,1587316221,59,-16.62,-72.71,75.24,8.5
494,Muzhi,100,RU,1587316222,96,65.37,64.67,33.84,5.61
495,Kidal,100,ML,1587316134,8,18.44,1.41,97.95,9.78
496,San Cristobal,40,VE,1587316076,52,7.77,-72.22,87.8,4.7
497,El Alto,19,PE,1587316222,65,-4.27,-81.21,76.82,6.04
498,Mehamn,90,NO,1587316190,86,71.04,27.85,41.0,16.11
499,Morant Bay,20,JM,1587316222,66,17.88,-76.41,87.01,18.34
500,Shahreza,71,IR,1587316223,27,32.03,51.88,60.49,2.55
501,Laguna,75,US,1587315989,71,38.42,-121.42,59.0,4.7
502,Karakulino,65,RU,1587316223,66,56.01,53.71,40.73,2.48
503,Zyryanka,24,RU,1587316223,86,65.75,150.85,-7.58,8.05
504,Touros,40,BR,1587316223,66,-5.2,-35.46,87.8,11.41
505,Haines Junction,100,CA,1587316032,53,60.75,-137.51,42.67,4.97
506,Puerto del Rosario,40,ES,1587316283,49,28.5,-13.86,73.4,17.22
507,Simões,75,BR,1587316283,74,-7.6,-40.82,80.28,6.78
508,Teya,7,RU,1587316284,91,60.38,92.63,28.78,4.47
509,Bollnäs,66,SE,1587316284,66,61.35,16.39,48.18,7.18
510,Kargasok,100,RU,1587316284,70,59.06,80.86,47.08,10.25
511,Ugoofaaru,25,MV,1587316285,74,5.67,73.0,86.04,10.07
512,Gunjur,15,GM,1587316285,40,13.2,-16.73,87.8,11.41
513,Tateyama,100,JP,1587316285,98,34.98,139.87,51.01,7.0
514,Sawtell,11,AU,1587316286,93,-30.38,153.1,57.2,5.61
515,San Francisco,75,US,1587316192,67,37.77,-122.42,57.2,4.88
516,Port Said,1,EG,1587316150,72,31.26,32.28,68.0,14.99
517,Konya Province,40,TR,1587316286,42,38.17,32.5,66.2,6.93
518,Dhārchula,97,IN,1587316286,34,29.85,80.53,55.49,7.78
519,Udachny,0,RU,1587316287,52,66.42,112.4,19.4,2.24
520,Zonguldak,44,TR,1587316287,56,41.25,31.83,55.36,3.22
521,Villa Carlos Paz,0,AR,1587316287,34,-31.42,-64.5,84.99,4.7
522,Vigrestad,0,NO,1587316287,66,58.57,5.7,51.01,11.41
523,Tomatlán,1,MX,1587316287,42,19.93,-105.25,89.11,9.44
524,College,90,US,1587316147,93,64.86,-147.8,44.01,1.97
525,Fallon,1,US,1587316288,23,39.47,-118.78,55.99,4.7
526,Harrisburg,1,US,1587316288,49,40.27,-76.88,61.0,11.41
527,Selikhino,100,RU,1587316288,60,50.37,137.5,47.86,3.89
528,Katherine,14,AU,1587316288,73,-14.47,132.27,73.4,4.7
529,La Ronge,75,CA,1587316288,52,55.1,-105.28,41.0,19.46
530,Ardakān,40,IR,1587316026,35,32.31,54.02,71.6,2.24
531,Burnie,100,AU,1587316289,92,-41.07,145.92,54.0,15.99
532,Pombal,50,BR,1587316289,47,-6.77,-37.8,90.32,0.27
533,Vancouver,90,CA,1587316038,81,49.25,-123.12,54.0,10.29
534,Havelock,75,US,1587316291,49,34.88,-76.9,73.4,16.11
535,Mackenzie,1,CA,1587316291,60,55.3,-123.17,39.2,5.82
536,Praia,20,CV,1587316291,51,14.92,-23.51,80.6,20.8
537,Westport,1,US,1587316291,46,41.14,-73.36,57.99,17.22
538,San Policarpo,39,PH,1587316292,84,12.18,125.51,81.82,13.33
539,Grand-Bourg,75,GP,1587316292,78,15.88,-61.31,84.2,6.93
540,Kumul,99,CN,1587316292,18,42.8,93.45,61.9,17.94
541,Cikampek,99,ID,1587316292,80,-6.42,107.46,79.56,2.33
542,Kharan,48,PK,1587316086,29,28.58,65.42,76.05,11.03
543,Nabire,40,ID,1587316292,80,-3.37,135.48,76.62,2.84
544,Umluj,0,SA,1587316293,44,25.02,37.27,77.14,4.61
545,‘Āhuimanu,75,US,1587316293,61,21.44,-157.84,78.8,5.82
546,Chamba,55,IN,1587316293,34,32.57,76.13,56.57,8.99
547,Oksbøl,0,DK,1587316293,32,55.63,8.29,59.0,6.93
548,Khāsh,95,IR,1587316293,31,28.22,61.22,67.86,3.83
549,Shchigry,40,RU,1587316294,60,51.88,36.9,44.01,4.47
550,Labuhan,63,ID,1587316294,81,-6.88,112.21,80.08,1.57
551,Água Branca,51,BR,1587316294,74,-5.89,-42.64,83.44,3.42
552,Nuuk,77,GL,1587316294,90,64.18,-51.72,32.0,40.26
553,Otane,15,NZ,1587316294,81,-39.88,176.63,49.03,2.86
